"data","municipio","codmun","pop","casos","obitos","casos_100k","obitos_100k"
"2022-08-17","Guajeru",291165,6937,641,9,9240.30560761136,129.739080294075
"2022-08-17","Guanambi",291170,84481,16493,148,19522.7329221955,175.18732022585
"2022-08-17","Guaratinga",291180,20843,1738,51,8338.53092165235,244.686465480017
"2022-08-17","Heliópolis",291185,13031,1357,15,10413.6290384468,115.110122016729
"2022-08-17","Iaçu",291190,24305,2974,53,12236.1653980662,218.062127134335
"2022-08-17","Ibiassucê",291200,9224,1970,8,21357.328707719,86.7302688638335
"2022-08-17","Ibicaraí",291210,21689,3010,74,13878.0026741666,341.186776707087
"2022-08-17","Ibicoara",291220,19571,1630,13,8328.64953247151,66.4248122221654
"2022-08-17","Ibicuí",291230,16198,1491,30,9204.84010371651,185.20805037659
"2022-08-17","Ibipeba",291240,18211,1329,14,7297.78705178189,76.8766130360771
"2022-08-17","Ibipitanga",291250,14902,1963,26,13172.7284928198,174.47322507046
"2022-08-17","Ibiquera",291260,4044,190,6,4698.31849653808,148.367952522255
"2022-08-17","Ibirapitanga",291270,23375,2208,43,9445.98930481283,183.957219251337
"2022-08-17","Ibirapuã",291280,8637,1837,18,21268.9591293273,208.405696422369
"2022-08-17","Ibirataia",291290,15312,2807,50,18332.0271682341,326.541274817137
"2022-08-17","Ibitiara",291300,16339,1465,14,8966.27700593672,85.6845584185079
"2022-08-17","Ibititá",291310,17113,1783,30,10418.9797230176,175.305323438322
"2022-08-17","Ibotirama",291320,26927,1736,57,6447.06057117391,211.683440412968
"2022-08-17","Ichu",291330,6206,731,4,11778.923622301,64.4537544311956
"2022-08-17","Igaporã",291340,15640,1157,24,7397.69820971867,153.452685421995
"2022-08-17","Igrapiúna",291345,13226,873,14,6600.63511265689,105.852109481325
"2022-08-17","Iguaí",291350,26916,1583,41,5881.26021697132,152.325754198246
"2022-08-17","Ilhéus",291360,162327,26294,635,16198.1678956674,391.185693076321
"2022-08-17","Inhambupe",291370,39926,2855,47,7150.72884836948,117.717777889095
"2022-08-17","Ipecaetá",291380,14487,669,13,4617.93331952785,89.7356250431421
"2022-08-17","Ipiaú",291390,45873,5198,99,11331.2841976762,215.813223464783
"2022-08-17","Ipirá",291400,59595,3230,80,5419.91777833711,134.239449618257
"2022-08-17","Ipupiara",291410,9865,606,7,6142.92954891029,70.9579320831221
"2022-08-17","Irajuba",291420,7260,475,2,6542.69972451791,27.5482093663912
"2022-08-17","Iramaia",291430,8537,696,16,8152.74686658077,187.419468197259
"2022-08-17","Iraquara",291440,25216,2478,23,9827.09390862944,91.2119289340101
"2022-08-17","Irará",291450,29034,2890,32,9953.84721361163,110.215609285665
"2022-08-17","Irecê",291460,72967,13428,167,18402.8396398372,228.870585333096
"2022-08-17","Itabela",291465,30584,2821,78,9223.77713837301,255.035312581742
"2022-08-17","Itaberaba",291470,64489,8450,168,13103.0098156275,260.509544263363
"2022-08-17","Itabuna",291480,213223,43460,790,20382.4165310497,370.504120099614
"2022-08-17","Itacaré",291490,28296,1747,32,6174.01752897936,113.090189426067
"2022-08-17","Itaeté",291500,16056,499,12,3107.87244643747,74.7384155455904
"2022-08-17","Itagi",291510,12351,1319,26,10679.2972228969,210.509270504413
"2022-08-17","Itagibá",291520,14579,1827,33,12531.7237121888,226.352973454969
"2022-08-17","Itagimirim",291530,6869,740,15,10773.0382879604,218.372397728927
"2022-08-17","Itaguaçu da Bahia",291535,14429,1096,9,7595.8139857232,62.3743849192598
"2022-08-17","Itaju do Colônia",291540,6682,466,9,6973.95989224783,134.690212511224
"2022-08-17","Itajuípe",291550,20491,3375,63,16470.6456493095,307.452052120443
"2022-08-17","Itamaraju",291560,64486,8431,170,13074.1556306795,263.623111993301
"2022-08-17","Itamari",291570,8035,802,13,9981.33167392657,161.792159303049
"2022-08-17","Itambé",291580,23049,2728,25,11835.6544752484,108.464575469652
"2022-08-17","Itanagra",291590,6441,695,8,10790.2499611862,124.204316099984
"2022-08-17","Itanhém",291600,19405,1754,41,9038.90749806751,211.285751095079
"2022-08-17","Itaparica",291610,22228,1870,41,8412.81266870614,184.452042468958
"2022-08-17","Itapé",291620,8761,1033,32,11790.8914507476,365.255107864399
"2022-08-17","Itapebi",291630,10259,1144,28,11151.1843259577,272.931084901062
"2022-08-17","Itapetinga",291640,76147,7893,181,10365.4773004846,237.69813649914
"2022-08-17","Itapicuru",291650,35576,2004,27,5633.01101866427,75.8938610299078
"2022-08-17","Itapitanga",291660,10313,1192,16,11558.2274798798,155.14399301852
"2022-08-17","Itaquara",291670,8319,833,10,10013.2227431182,120.206755619666
"2022-08-17","Itarantim",291680,19747,910,37,4608.29493087558,187.370233453183
